Data di inizio;Data di fine;Tipo risposta;Avanzamento;Durata (in secondi);Terminato;Data registrata;ID di risposta;Canale di distribuzione;Lingua dell'utente;"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Unforeseen events upset me greatly.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - It frustrates me not having all the information I need.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Uncertainty keeps me from living a full life.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - One should always look ahead so as to avoid surprises.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - A small unforeseen event can spoil everything, even with the best of planning.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When itü??s time to act, uncertainty paralyses me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Please, answer ""entirely characteristic of me"" to this item.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When I am uncertain I canü??t function very well.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I always want to know what the future has in store for me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I canü??t stand being taken by surprise.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - The smallest doubt can stop me from acting.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I should be able to organize everything in advance.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I must get away from all uncertain situations.";Please, type your age.;Please, select your gender.;Have you experienced any issues with the internet conncetion and/or the uploading of the pictures/sounds?;You have now successfully completed the survey, and you will be redirected to Prolific to complete your submission.If you have any comments please let us know by filling the box below.Thank you for your valuable contribution!;Total score;Prospective subscale;Inhibitory subscale;AttentionCheck;workerId;batchId;studyId;subject_nr;PROLIFIC_PID;SESSION_ID;STUDY_ID
20/07/2021 05:10;20/07/2021 05:12;Indirizzo IP;100;132;VERO;20/07/2021 05:12;R_W809fCW0VwLDkd3;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;27;Female;No, everything worked fine!;This study was very interesting, thank you for the opportunity!;45;23;22;1;14690;507;496;24005;60128528323c742cb9b96310;60f6a6ef49497476f863c9e0;60f57e67967f64a9e6d4f193
20/07/2021 10:37;20/07/2021 10:41;Indirizzo IP;100;230;VERO;20/07/2021 10:41;R_3ixO5HT1U6Y5VVN;anonymous;EN;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;21;Male;No, everything worked fine!;Google Chrome could not open the study. Had to do it in other browser, just for the record.;24;16;8;1;14869;507;496;24157;60142d5718e5943b09fd9298;60f6f532cd641394bcc8168c;60f57e67967f64a9e6d4f193
20/07/2021 04:12;20/07/2021 04:15;Indirizzo IP;100;127;VERO;20/07/2021 04:15;R_33r1QDVyoUpDsvP;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;28;Male;No, everything worked fine!;;26;15;11;1;14543;507;496;23860;6015774d7b82d9614de60afb;60f69838d36ea556c49e780a;60f57e67967f64a9e6d4f193
20/07/2021 05:15;20/07/2021 05:17;Indirizzo IP;100;111;VERO;20/07/2021 05:17;R_3fOEKRfDe8GoUmU;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;20;Male;No, everything worked fine!;;33;17;16;1;14783;507;496;24090;601d2aa3cf8c480009fc0719;60f6a9ae4cfb16bcef22c6e7;60f57e67967f64a9e6d4f193
20/07/2021 04:58;20/07/2021 04:59;Indirizzo IP;100;43;VERO;20/07/2021 04:59;R_2zZUv0Dn2RaPzaS;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;21;Female;No, everything worked fine!;;49;29;20;1;14636;507;496;23952;601d916593209b155c1a49d2;60f6a6b947b919331f9c706a;60f57e67967f64a9e6d4f193
20/07/2021 04:28;20/07/2021 04:30;Indirizzo IP;100;103;VERO;20/07/2021 04:30;R_1msgSQdfF070m9q;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;28;Female;No, everything worked fine!;;41;24;17;1;14612;507;496;23929;60215dd35df8a610ca2ee17a;60f69d9ca42b6345d351fcb8;60f57e67967f64a9e6d4f193
19/07/2021 10:49;19/07/2021 10:52;Indirizzo IP;100;129;VERO;19/07/2021 10:52;R_2VmUFNpZK4Z4vUw;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;18;Male;No, everything worked fine!;;29;18;11;1;14485;496;485;23803;6022d01342dd440987449256;60f5a50bb108837a51bcc5ea;60e45f9daf7eec3fac4de4e2
19/07/2021 09:21;19/07/2021 09:22;Indirizzo IP;100;84;VERO;19/07/2021 09:22;R_3fejHHLA5M8zNtA;anonymous;EN;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;20;Male;No, everything worked fine!;;41;23;18;1;14476;496;485;23775;6025c2e59366fc1be0c746b0;60f5923fb2e4b6d6ac1ca42a;60e45f9daf7eec3fac4de4e2
20/07/2021 04:44;20/07/2021 04:48;Indirizzo IP;100;209;VERO;20/07/2021 04:48;R_3qm4sT0mnZYw305;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;19;Male;No, everything worked fine!;I think that in some cases the quality of the audio of the disturbing sounds should be increased, because in some cases (i can't remember in which ones exactly) I could figure out that some certain sounds were mixes of stock audio sounds, which probably dulled my emotional response to that sound;33;20;13;1;14629;507;496;23945;602aae3eaa844c11d05a2f49;60f699ce699cb3c11c451f7d;60f57e67967f64a9e6d4f193
20/07/2021 04:27;20/07/2021 04:29;Indirizzo IP;100;102;VERO;20/07/2021 04:29;R_3IQeVanLLTPdSAw;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;19;Female;No, everything worked fine!;;38;22;16;1;14584;507;496;23901;6033af0a44b47b08f9ba6acb;60f69c95e9decc1852b7c6f5;60f57e67967f64a9e6d4f193
19/07/2021 09:05;19/07/2021 09:06;Indirizzo IP;100;61;VERO;19/07/2021 09:06;R_24vEa0WBv8vObVc;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;23;Male;No, everything worked fine!;;42;25;17;1;14465;496;485;23765;603b6906293b9563813177d3;60f58dc4c8f440e6466c69ad;60e45f9daf7eec3fac4de4e2
20/07/2021 05:09;20/07/2021 05:10;Indirizzo IP;100;59;VERO;20/07/2021 05:10;R_1obX0ilqdKq4fOS;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;23;Female;No, everything worked fine!;;39;23;16;1;14697;507;496;24013;603d7ba0ecb86cc51ed2e12c;60f6a6f2731a35a8e497c46d;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:04;Indirizzo IP;100;48;VERO;20/07/2021 05:04;R_33gqxoR4xbAToq6;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;19;Female;No, everything worked fine!;;34;22;12;1;14681;507;496;23997;603e56c45275b9e7b7fe5cf8;60f6a6e775f9b3e129f4e248;60f57e67967f64a9e6d4f193
20/07/2021 04:26;20/07/2021 04:30;Indirizzo IP;100;198;VERO;20/07/2021 04:30;R_1Q3Cz8yMuXOcLV3;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;23;Female;No, everything worked fine!;The survey is well made, but I think you should show a timer or the number of tasks that we still have to compleate.;24;16;8;1;14608;507;496;23925;6040eb0f00ed450008ca2022;60f69d7c676dabc5c586df63;60f57e67967f64a9e6d4f193
20/07/2021 04:59;20/07/2021 05:01;Indirizzo IP;100;75;VERO;20/07/2021 05:01;R_3iteaSoYKI5OMtF;anonymous;EN;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;27;Male;No, everything worked fine!;;18;12;6;1;14687;507;496;24003;6054b58bd5360d888bf97637;60f6a6e823dec5bdbc9e6a5c;60f57e67967f64a9e6d4f193
20/07/2021 04:24;20/07/2021 04:27;Indirizzo IP;100;144;VERO;20/07/2021 04:27;R_1mP3iyMcOyVfZao;anonymous;EN;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;22;Male;No, everything worked fine!;;41;23;18;1;14588;507;496;23905;605b46f12f06bd9ec2291f4a;60f69cccab6bbc73bc0e1e0f;60f57e67967f64a9e6d4f193
20/07/2021 04:54;20/07/2021 04:56;Indirizzo IP;100;114;VERO;20/07/2021 04:56;R_1MSVENhUKruIAKN;anonymous;EN;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;22;Female;No, everything worked fine!;Very nice study!:);32;23;9;1;14632;507;496;23948;605e14202c3a566911baccda;60f6a4cf1e72c45d7bf9058e;60f57e67967f64a9e6d4f193
20/07/2021 05:04;20/07/2021 05:05;Indirizzo IP;100;72;VERO;20/07/2021 05:05;R_309902NxJefccF1;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;18;Female;No, everything worked fine!;;42;27;15;1;14698;507;496;24014;605f27f5dd517a60af741805;60f6a6f676a4ade8ce85e8c0;60f57e67967f64a9e6d4f193
20/07/2021 05:13;20/07/2021 05:16;Indirizzo IP;100;155;VERO;20/07/2021 05:16;R_1QcrimloVeszsGR;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;25;Male;No, everything worked fine!;;27;16;11;1;14649;507;496;23965;60621c9cf039a8453d40dd86;60f6a6bb76a4ade8ce85e8bd;60f57e67967f64a9e6d4f193
20/07/2021 04:19;20/07/2021 04:21;Indirizzo IP;100;122;VERO;20/07/2021 04:21;R_2uZXXYBfRzsFXab;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;20;Male;No, everything worked fine!;;29;19;10;1;14607;507;496;23924;60632f4f1d55a31f47b79dfc;60f69d56227ff30c0cf55e15;60f57e67967f64a9e6d4f193
20/07/2021 04:09;20/07/2021 04:10;Indirizzo IP;100;61;VERO;20/07/2021 04:10;R_3iNYVjbn6wyfGMq;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;22;Male;No, everything worked fine!;;49;28;21;1;14563;507;496;23880;6069b1ee82d95ab68039e071;60f69b1ca2ac908afc419a31;60f57e67967f64a9e6d4f193
20/07/2021 04:31;20/07/2021 04:33;Indirizzo IP;100;121;VERO;20/07/2021 04:33;R_3KGV39sYnxbh5Hm;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;26;Male;No, everything worked fine!;;36;23;13;1;14614;507;496;23931;606aec57f0e6bc3c951fdea6;60f69cf89957b41e0697dd24;60f57e67967f64a9e6d4f193
20/07/2021 05:11;20/07/2021 05:13;Indirizzo IP;100;126;VERO;20/07/2021 05:13;R_rjpTWiDqVci7rP3;anonymous;EN;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;37;Female;No, everything worked fine!;;22;11;11;1;14774;507;496;24081;606c7876280b8e6d353fc539;60f6a75a7a4cb2273630dd14;60f57e67967f64a9e6d4f193
20/07/2021 04:24;20/07/2021 04:27;Indirizzo IP;100;124;VERO;20/07/2021 04:27;R_3fP3hihjZNWCwJo;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Not at all characteristic of me;Very characteristic of me;Somewhat characteristic of me;22;Female;No, everything worked fine!;;43;30;13;1;14599;507;496;23916;606d621a43e3948a245baacd;60f69cb44e81bead3bead628;60f57e67967f64a9e6d4f193
20/07/2021 10:39;20/07/2021 10:45;Indirizzo IP;100;325;VERO;20/07/2021 10:45;R_3rH6EARhoWRmcIE;anonymous;EN;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;21;Male;No, everything worked fine!;Thnak you for the opportunity.;36;25;11;1;14865;507;496;24153;607a0fe67fc31df7b0d6473f;60f6f53260e3a31a96c072bf;60f57e67967f64a9e6d4f193
20/07/2021 04:25;20/07/2021 04:27;Indirizzo IP;100;95;VERO;20/07/2021 04:27;R_2wQXWavAVtXRiDb;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;20;Male;No, everything worked fine!;;45;30;15;1;14600;507;496;23917;607bf7e637122f12ab463e17;60f69d131b2e78204e85fbad;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:05;Indirizzo IP;100;96;VERO;20/07/2021 05:05;R_3q40FPUTvzrBck1;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;18;Male;No, everything worked fine!;;35;18;17;1;14677;507;496;23993;607da2d00643eb4cc09116ab;60f6a6e1bbc2e8594a0012b6;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:03;Indirizzo IP;100;127;VERO;20/07/2021 05:03;R_PIFZC6terdmwOxH;anonymous;EN;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Very characteristic of me;Not at all characteristic of me;19;Male;No, everything worked fine!;At the end i was kinda tired, i was doing the same thing for a while, so a bit boring i'ld say.;20;15;5;1;14642;507;496;23958;607eaaad77aa82a7a32b9c74;60f6a6c43c4801574ea08bf5;60f57e67967f64a9e6d4f193
20/07/2021 06:42;20/07/2021 06:47;Indirizzo IP;100;316;VERO;20/07/2021 06:47;R_2zr2dmRV5ZYWyOZ;anonymous;EN;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;20;Male;No, everything worked fine!;There was a strange noise when listening to different recordings;24;16;8;1;14810;507;496;24107;6082ccca620df7ae94846c04;60f6be4f8b02ec498cb6487f;60f57e67967f64a9e6d4f193
20/07/2021 05:04;20/07/2021 05:12;Indirizzo IP;100;461;VERO;20/07/2021 05:12;R_32Md2u2OjAbJA7L;anonymous;EN;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;23;Male;No, everything worked fine!;;42;25;17;1;14638;507;496;23954;60866f8615f854acc11700cf;60f6a6b65a81ca00b444862c;60f57e67967f64a9e6d4f193
20/07/2021 05:06;20/07/2021 05:08;Indirizzo IP;100;105;VERO;20/07/2021 05:08;R_ah4VeYIjZZ6KUal;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;10;Male;No, everything worked fine!;;41;25;16;1;14711;507;496;24027;608da3e8b940d2525266eea6;60f6a6fb46ed10a44eb810ad;60f57e67967f64a9e6d4f193
20/07/2021 05:04;20/07/2021 05:06;Indirizzo IP;100;90;VERO;20/07/2021 05:06;R_A4gryWcvTTFMSK5;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;20;Female;No, everything worked fine!;;47;27;20;1;14664;507;496;23980;60912620fcabaade62b5e90f;60f6a6d876a4ade8ce85e8bf;60f57e67967f64a9e6d4f193
20/07/2021 10:37;20/07/2021 10:38;Indirizzo IP;100;52;VERO;20/07/2021 10:38;R_qODdllgDNUl94rf;anonymous;EN;A little characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;27;Male;No, everything worked fine!;;32;22;10;1;14876;507;496;24164;609959b59db017b59a4887ff;60f6f5319405bb905d701a9b;60f57e67967f64a9e6d4f193
20/07/2021 04:13;20/07/2021 04:14;Indirizzo IP;100;81;VERO;20/07/2021 04:14;R_1LLhs03Dac9pgrF;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;27;Male;No, everything worked fine!;;43;23;20;1;14574;507;496;23891;609ced80d5bc67aa2085b008;60f69bdf82dc83fa367b8d86;60f57e67967f64a9e6d4f193
20/07/2021 06:45;20/07/2021 06:46;Indirizzo IP;100;93;VERO;20/07/2021 06:46;R_2B9U5ZXJe11gkJG;anonymous;EN;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;21;Male;No, everything worked fine!;;31;15;16;1;14811;507;496;24108;609ef498ce77f4622807a36d;60f6be508452e1c0d522cdd5;60f57e67967f64a9e6d4f193
20/07/2021 06:06;20/07/2021 06:08;Indirizzo IP;100;138;VERO;20/07/2021 06:08;R_1o59CRpIfTbgUkx;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;32;Female;Yes, in less than 25% of the trials;;32;17;15;1;14789;507;496;24096;60a12cb9954e4a6ccf67b76c;60f6b3d3067f871379bbbc2e;60f57e67967f64a9e6d4f193
20/07/2021 10:38;20/07/2021 10:40;Indirizzo IP;100;108;VERO;20/07/2021 10:40;R_2ZEU62oGdy9mexB;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;24;Male;No, everything worked fine!;;40;26;14;1;14863;507;496;24151;60a15c5599faeb7c785cd223;60f6f53081f851d9f4fce640;60f57e67967f64a9e6d4f193
20/07/2021 05:40;20/07/2021 05:41;Indirizzo IP;100;98;VERO;20/07/2021 05:41;R_3Gfz0tQMfKuXF3f;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;18;Female;No, everything worked fine!;;38;22;16;1;14786;507;496;24093;60a18093c5c040498d3addf8;60f6a7b57aef30974970cb1c;60f57e67967f64a9e6d4f193
20/07/2021 05:07;20/07/2021 05:08;Indirizzo IP;100;58;VERO;20/07/2021 05:08;R_2fD3Fw41rUz1Okz;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;27;Female;No, everything worked fine!;;41;24;17;1;14692;507;496;24008;60a2c7814644f316d321b59a;60f6a6ea42d87ec2bd8dcb9f;60f57e67967f64a9e6d4f193
20/07/2021 07:51;20/07/2021 07:53;Indirizzo IP;100;113;VERO;20/07/2021 07:53;R_10xgL4bUpJbZSaj;anonymous;EN;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;18;Female;Yes, in less than 25% of the trials;;27;16;11;1;14643;507;496;23959;60ab822a93ee05a2377736e2;60f6a6c45b256c48c7b7ebd8;60f57e67967f64a9e6d4f193
20/07/2021 05:10;20/07/2021 05:13;Indirizzo IP;100;123;VERO;20/07/2021 05:13;R_2xY4Uwjmw8NkK7v;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;27;Female;No, everything worked fine!;;38;22;16;1;14768;507;496;24075;60acbfb18aa7ca94afcbc669;60f6a700dc1aaca04897535d;60f57e67967f64a9e6d4f193
20/07/2021 04:16;20/07/2021 04:18;Indirizzo IP;100;117;VERO;20/07/2021 04:18;R_231OIEojuuGeGMV;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;19;Female;No, everything worked fine!;;40;31;9;1;14562;507;496;23879;60b387a90f326868c1e31501;60f69aec8a63310bb215f943;60f57e67967f64a9e6d4f193
20/07/2021 04:17;20/07/2021 04:18;Indirizzo IP;100;99;VERO;20/07/2021 04:18;R_3UYYuwwJG0ApCut;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;23;Female;No, everything worked fine!;;32;19;13;1;14580;507;496;23897;60b77aa1bfb30302ed2974f2;60f69c335b4364845b9a108e;60f57e67967f64a9e6d4f193
